mean_norm_loaded_hipjoint_moment,std_norm_loaded_hipjoint_moment,mean_norm_loaded_kneejoint_moment,std_norm_loaded_kneejoint_moment,mean_norm_loaded_hipjoint_power,std_norm_loaded_hipjoint_power,mean_norm_loaded_kneejoint_power,std_norm_loaded_kneejoint_power,mean_loaded_hipjoint_speed,std_loaded_hipjoint_speed,mean_loaded_kneejoint_speed,std_loaded_kneejoint_speed,mean_loaded_hipjoint_kinematics,std_loaded_hipjoint_kinematics,mean_loaded_kneejoint_kinematics,std_loaded_kneejoint_kinematics,mean_norm_noload_hipjoint_moment,std_norm_noload_hipjoint_moment,mean_norm_noload_kneejoint_moment,std_norm_noload_kneejoint_moment,mean_norm_noload_hipjoint_power,std_norm_noload_hipjoint_power,mean_norm_noload_kneejoint_power,std_norm_noload_kneejoint_power,mean_noload_hipjoint_speed,std_noload_hipjoint_speed,mean_noload_kneejoint_speed,std_noload_kneejoint_speed,mean_noload_hipjoint_kinematics,std_noload_hipjoint_kinematics,mean_noload_kneejoint_kinematics,std_noload_kneejoint_kinematics
0.638745844,0.192000512,-0.446286606,0.106341708,-0.085389869,0.18271259,0.717090976,0.374262399,-0.111489644,0.292730291,-1.570439408,0.642276817,37.52111867,4.136904331,5.70096998,3.169296371,0.719039986,0.134252766,-0.478879741,0.078049558,-0.164437581,0.418921809,1.123107917,0.518851747,-0.18997684,0.518196209,-2.268991175,0.786287719,31.67869044,4.664109609,4.143735772,2.800097966
0.651485168,0.195560089,-0.450940086,0.10726975,-0.091810344,0.186854394,0.753820968,0.384223787,-0.118059873,0.291493035,-1.631623151,0.635652066,37.52842871,4.142379455,5.810285351,3.178759396,0.729920739,0.138529966,-0.481872279,0.079827173,-0.168850988,0.428861693,1.159302846,0.529121947,-0.191661814,0.522770068,-2.327527311,0.786674005,31.69033546,4.646406004,4.292114375,2.782121069
0.664617683,0.199175166,-0.455594788,0.108186133,-0.098359231,0.191215124,0.790303742,0.394193108,-0.124545406,0.290298653,-1.69129409,0.628990895,37.53617434,4.14771067,5.923600072,3.188790568,0.741009422,0.142725941,-0.484759325,0.081534206,-0.173185617,0.438611332,1.194597637,0.538972753,-0.193187984,0.52706336,-2.384205727,0.786959758,31.70208105,4.628738333,4.444173252,2.764619083
0.677999952,0.202815271,-0.460162562,0.109078355,-0.105019317,0.195750285,0.826342184,0.404034935,-0.130940587,0.28915146,-1.749441838,0.622307089,37.54435273,4.152894194,6.040828843,3.199378501,0.752181264,0.14679202,-0.487461142,0.08314381,-0.177404418,0.44807562,1.22874296,0.548246258,-0.194552394,0.531069778,-2.43902286,0.787150928,31.71391726,4.611130056,4.599794967,2.747601548
0.691471343,0.206434418,-0.464536041,0.109939308,-0.111772255,0.200409539,0.861669587,0.413610427,-0.137241058,0.288054102,-1.805999995,0.615620258,37.55298565,4.157911032,6.162047268,3.210638039,0.763297799,0.15067248,-0.489891355,0.084625871,-0.181472141,0.457149178,1.261461105,0.556785208,-0.195751925,0.534783563,-2.491976175,0.787254356,31.72583406,4.593604461,4.758863415,2.731081204
0.704852611,0.209988509,-0.468613676,0.110746657,-0.118588012,0.205139298,0.896033637,0.422771546,-0.143437788,0.287013739,-1.860988685,0.608942105,37.56205556,4.162772796,6.287062305,3.222395935,0.774214056,0.154306593,-0.491958621,0.085952758,-0.185350669,0.465722335,1.292444338,0.564442588,-0.196780147,0.538201013,-2.543046201,0.787298734,31.73782542,4.576183515,4.92130406,2.715161416
0.717965477,0.213425686,-0.472292837,0.111474723,-0.125428344,0.209882026,0.929166312,0.431384721,-0.149521303,0.286036839,-1.914413562,0.60229531,37.57154451,4.167480544,6.415737627,3.234591873,0.784769123,0.157658966,-0.493566619,0.087106609,-0.189003086,0.473684066,1.321368745,0.571079906,-0.197634208,0.541315523,-2.592233665,0.787281158,31.74987789,4.558889852,5.08698579,2.699794765
0.730619779,0.216711716,-0.475458623,0.112117761,-0.13225156,0.214577042,0.960737413,0.43931495,-0.155484842,0.28512698,-1.966247153,0.595675038,37.58145399,4.172020904,6.548027757,3.247283463,0.794785002,0.160680911,-0.494606295,0.088057828,-0.192399901,0.480903412,1.347861761,0.576563605,-0.198316532,0.544110781,-2.639521669,0.787210188,31.76197703,4.541745203,5.255821699,2.684898067
0.742641835,0.219796,-0.477993567,0.112661867,-0.139014169,0.219163153,0.990403796,0.446434235,-0.16131828,0.284287908,-2.016463731,0.58908876,37.59178159,4.176387205,6.683862186,3.260392267,0.804091982,0.163319476,-0.494977288,0.088784728,-0.195495128,0.487283376,1.371551892,0.580729666,-0.19881925,0.546590805,-2.684907932,0.787071464,31.77410765,4.524779539,5.427675726,2.67051291
0.753901126,0.222618065,-0.479855183,0.113066348,-0.145671038,0.223582088,1.017983812,0.452582773,-0.167016181,0.28352561,-2.065106765,0.58256142,37.60251137,4.180591782,6.823049384,3.273893282,0.812543408,0.165559584,-0.494595047,0.089285344,-0.198247048,0.492724835,1.392127861,0.58350705,-0.199131634,0.548755223,-2.728404447,0.786899531,31.78626886,4.508013794,5.602446739,2.656694178
0.764238764,0.225135938,-0.480943368,0.113317981,-0.15217012,0.227784189,1.043153841,0.457645006,-0.172570428,0.282846534,-2.112172445,0.576103759,37.61363395,4.184630253,6.965492998,3.287714359,0.819991397,0.167388378,-0.493378832,0.089555556,-0.200624345,0.497129775,1.409283935,0.584811613,-0.199255125,0.550603258,-2.770044049,0.786687246,31.79844645,4.491466259,5.779961344,2.643433647
0.773498399,0.227318043,-0.481164807,0.113418579,-0.158464919,0.23171087,1.065589791,0.461542565,-0.177971311,0.282254083,-2.157633637,0.569754076,37.62514725,4.18849046,7.111144716,3.301883605,0.826311031,0.168805121,-0.491258522,0.089596163,-0.202596797,0.5004201,1.422739388,0.584604806,-0.199187302,0.552131428,-2.809835808,0.786435922,31.81062553,4.475158021,5.960105915,2.630718784
