subjects,load condition,constraints,device type,avg power 01,avg power 02,avg power 03,
subject05,loaded,constrained,hip actuator,biarticular,0.6450566414702581,0.5754210848750421,0.5166289898687486
subject07,loaded,constrained,hip actuator,biarticular,0.9885691102267008,0.8997401193452822,0.961753858972007
subject09,loaded,constrained,hip actuator,biarticular,1.0456890866215998,1.0270400782335045,1.0695353400295695
subject10,loaded,constrained,hip actuator,biarticular,1.4456810545875418,nan,1.4044601812847421
subject11,loaded,constrained,hip actuator,biarticular,1.0189621644248001,1.0502104956062541,1.0737799336057028
subject12,loaded,constrained,hip actuator,biarticular,1.3409018542580384,1.289877639095271,1.2827145321974716
subject14,loaded,constrained,hip actuator,biarticular,0.8980290549924258,0.6533488512529253,0.8448958535339297
subject05,loaded,constrained,knee actuator,biarticular,0.9327324098147518,0.8529335877445692,0.8966966720861965
subject07,loaded,constrained,knee actuator,biarticular,0.9561843641891669,0.9997233011462556,0.9629224452603877
subject09,loaded,constrained,knee actuator,biarticular,0.8539574849587873,0.8809275177270006,0.8827524802785611
subject10,loaded,constrained,knee actuator,biarticular,1.498124358450264,nan,1.3911564747088123
subject11,loaded,constrained,knee actuator,biarticular,1.097618910987749,1.0728939711535574,1.077769988004646
subject12,loaded,constrained,knee actuator,biarticular,1.23492791677625,1.1847369674408414,1.1826640045774413
subject14,loaded,constrained,knee actuator,biarticular,1.8369753657316998,1.6770852009429802,1.5157483005340817
subject05,loaded,constrained,hip actuator,monoarticular,0.9358593348282763,0.7939916528267237,0.8086849942022354
subject07,loaded,constrained,hip actuator,monoarticular,1.1226188622468498,0.9904977230280362,1.0096100472445073
subject09,loaded,constrained,hip actuator,monoarticular,0.969071529967248,1.0453220614497218,1.0039181979313774
subject10,loaded,constrained,hip actuator,monoarticular,1.2634873937540565,1.3247805398468737,1.35646403153589
subject11,loaded,constrained,hip actuator,monoarticular,1.138980580923666,1.114909288297612,1.2289039906225545
subject12,loaded,constrained,hip actuator,monoarticular,1.062344594910894,0.9345881386346657,0.864557094137472
subject14,loaded,constrained,hip actuator,monoarticular,1.1405643946605744,1.0399714836099327,1.3912822713261028
subject05,loaded,constrained,knee actuator,monoarticular,0.8239077315133191,0.5808610180297131,0.5776885514601962
subject07,loaded,constrained,knee actuator,monoarticular,0.8583476357831008,0.7469088976406346,0.8640805354736297
subject09,loaded,constrained,knee actuator,monoarticular,0.9027126623911484,0.9819994210695325,1.0755733639284561
subject10,loaded,constrained,knee actuator,monoarticular,1.3380149773997145,1.1565231017662296,1.273136353747731
subject11,loaded,constrained,knee actuator,monoarticular,1.012418481159147,0.9469162784496399,0.9276515167088942
subject12,loaded,constrained,knee actuator,monoarticular,0.7284841854148113,0.7216825922891767,0.5674372019694399
subject14,loaded,constrained,knee actuator,monoarticular,1.2596837906384892,1.1304209637885203,1.0905479503318463
subject05,noload,constrained,hip actuator,biarticular,0.6583892052667932,0.7476118069728742,0.731071626661346
subject07,noload,constrained,hip actuator,biarticular,1.0215475417121513,1.0043101752696846,0.989015854072571
subject09,noload,constrained,hip actuator,biarticular,0.9228670547809559,0.797620922362774,0.8531542744879455
subject10,noload,constrained,hip actuator,biarticular,1.3486207183788324,1.3401835024692668,1.3688386464371072
subject11,noload,constrained,hip actuator,biarticular,1.0313039295250173,1.044806298018681,1.0271795391384317
subject12,noload,constrained,hip actuator,biarticular,1.4139188390646573,1.5943766571601694,1.672472325099835
subject14,noload,constrained,hip actuator,biarticular,0.6074578673815765,0.7397738670588557,0.6394232228841529
subject05,noload,constrained,knee actuator,biarticular,0.9058026591648911,0.9141240637281901,1.0132829762831108
subject07,noload,constrained,knee actuator,biarticular,0.950716498989318,0.8181307015457914,0.8784503715675138
subject09,noload,constrained,knee actuator,biarticular,0.8691807202853494,0.8813873892357952,0.8983751868007235
subject10,noload,constrained,knee actuator,biarticular,1.1237707392485112,1.1555637478960012,1.1573320739848463
subject11,noload,constrained,knee actuator,biarticular,1.049587163574751,1.155678641846592,1.095748594127316
subject12,noload,constrained,knee actuator,biarticular,1.2798791371702198,1.2055195823249756,1.2467312521759202
subject14,noload,constrained,knee actuator,biarticular,1.905961000701854,1.833641602414892,1.7056084163301324
subject05,noload,constrained,hip actuator,monoarticular,0.6376904547197466,0.7085526548172324,0.48536090543983973
subject07,noload,constrained,hip actuator,monoarticular,0.974163701436096,1.0507757496356556,1.0450195111918217
subject09,noload,constrained,hip actuator,monoarticular,0.9437253126342201,0.764453464295326,0.8058468075608737
subject10,noload,constrained,hip actuator,monoarticular,1.0191047320192463,0.9915024687430428,1.0567798087671836
subject11,noload,constrained,hip actuator,monoarticular,0.8295732935767538,0.7887879856392369,0.8454492906209613
subject12,noload,constrained,hip actuator,monoarticular,1.0652653312761642,1.1317550891839165,1.1388571320968552
subject14,noload,constrained,hip actuator,monoarticular,1.130966432091186,1.2593335411601847,1.1585854308856696
subject05,noload,constrained,knee actuator,monoarticular,0.7081276154063033,0.752158547741179,0.6567107166707261
subject07,noload,constrained,knee actuator,monoarticular,0.8448543489093467,0.816586097776069,0.8362523824619601
subject09,noload,constrained,knee actuator,monoarticular,0.9199182019053307,0.846918159248574,0.9519703559000393
subject10,noload,constrained,knee actuator,monoarticular,1.134370861819269,1.1205078531701733,1.0088150662599815
subject11,noload,constrained,knee actuator,monoarticular,0.994340697477558,1.0187325062241415,1.0302443768132863
subject12,noload,constrained,knee actuator,monoarticular,1.0861454781301536,1.106914058366149,1.2957767027090734
subject14,noload,constrained,knee actuator,monoarticular,0.9846733175293602,0.9224516788608108,0.8988084726170235
